PerceptionOfWeight,BMIPCT,WeightPerception
3,66.01686883,About the right weight
3,92.18630697,About the right weight
4,92.67341005,Slightly overweight
3,46.63367372,About the right weight
2,16.31431911,Slightly underweight
3,67.02228158,About the right weight
3,49.28651193,About the right weight
4,92.23530338,Slightly overweight
3,66.72581086,About the right weight
3,23.08528326,About the right weight
3,79.94321014,About the right weight
4,50.83565947,Slightly overweight
4,97.82337051,Slightly overweight
3,25.62543853,About the right weight
3,87.0393965,About the right weight
2,2.702715023,Slightly underweight
5,84.25460359,Very overweight
4,99.30645185,Slightly overweight
3,74.45590053,About the right weight
4,98.27574094,Slightly overweight
3,87.89933447,About the right weight
3,84.41178425,About the right weight
3,86.94086538,About the right weight
2,61.62211135,Slightly underweight
2,51.7428672,Slightly underweight
3,78.75181773,About the right weight
2,7.43365761,Slightly underweight
3,56.8165505,About the right weight
3,91.42596371,About the right weight
3,79.76241959,About the right weight
3,42.06321618,About the right weight
4,95.36191231,Slightly overweight
3,96.35684269,About the right weight
1,27.90530303,Very underweight
3,56.18208753,About the right weight
5,84.52270324,Very overweight
5,26.55798646,Very overweight
5,61.12521977,Very overweight
3,90.3259285,About the right weight
3,44.87060316,About the right weight
4,95.37626702,Slightly overweight
3,75.2628239,About the right weight
3,20.03706101,About the right weight
3,1.427180351,About the right weight
2,52.55947074,Slightly underweight
4,96.25618095,Slightly overweight
3,0.071055622,About the right weight
4,80.51016783,Slightly overweight
4,70.75265862,Slightly overweight
5,98.76991154,Very overweight
3,92.39504425,About the right weight
4,94.70832232,Slightly overweight
2,1.126496772,Slightly underweight
3,52.16728949,About the right weight
3,82.7581041,About the right weight
3,26.04781219,About the right weight
3,82.9105435,About the right weight
3,77.31131058,About the right weight
4,65.01123559,Slightly overweight
3,48.38799949,About the right weight
3,37.57997923,About the right weight
3,70.84066228,About the right weight
3,21.9624896,About the right weight
3,53.96737126,About the right weight
4,79.94743674,Slightly overweight
3,6.480710021,About the right weight
3,11.71844697,About the right weight
2,14.02708141,Slightly underweight
3,76.4894434,About the right weight
4,99.3207331,Slightly overweight
3,34.55230954,About the right weight
2,57.71859003,Slightly underweight
4,98.74117445,Slightly overweight
3,84.34610709,About the right weight
2,47.58022949,Slightly underweight
4,98.57458319,Slightly overweight
4,98.72363287,Slightly overweight
4,94.79049664,Slightly overweight
2,7.309878943,Slightly underweight
4,91.40877185,Slightly overweight
3,13.16010488,About the right weight
4,65.43024833,Slightly overweight
2,0.520765122,Slightly underweight
4,95.39469153,Slightly overweight
3,90.75765214,About the right weight
4,84.10842539,Slightly overweight
3,45.76251448,About the right weight
3,25.21110536,About the right weight
4,94.29536872,Slightly overweight
3,35.04876286,About the right weight
3,36.41834536,About the right weight
4,60.51961267,Slightly overweight
4,72.44971173,Slightly overweight
3,73.70743646,About the right weight
2,22.00897479,Slightly underweight
4,96.94902892,Slightly overweight
4,50.11612649,Slightly overweight
3,77.42100631,About the right weight
3,88.2640755,About the right weight
4,85.29469889,Slightly overweight
4,44.42268346,Slightly overweight
3,73.44604344,About the right weight
3,43.53539984,About the right weight
4,61.87259156,Slightly overweight
4,62.47075585,Slightly overweight
3,54.38998582,About the right weight
3,96.12554764,About the right weight
4,86.71569586,Slightly overweight
5,99.59722635,Very overweight
3,97.55335966,About the right weight
1,2.286363367,Very underweight
5,94.6470681,Very overweight
2,26.14331104,Slightly underweight
3,63.50973543,About the right weight
3,95.76721077,About the right weight
5,99.84386039,Very overweight
3,84.10727673,About the right weight
3,53.6985542,About the right weight
4,96.93235216,Slightly overweight
4,99.02321608,Slightly overweight
3,27.90530303,About the right weight
3,89.82378786,About the right weight
3,79.16293108,About the right weight
3,65.23127763,About the right weight
3,74.34578782,About the right weight
2,1.354683366,Slightly underweight
3,2.19153782,About the right weight
3,19.12650374,About the right weight
5,94.89706786,Very overweight
4,85.24612213,Slightly overweight
2,21.02306116,Slightly underweight
3,52.22408981,About the right weight
4,97.83497723,Slightly overweight
4,75.19253869,Slightly overweight
3,25.09923397,About the right weight
5,97.61424168,Very overweight
3,52.74582649,About the right weight
5,97.5371005,Very overweight
4,79.67120611,Slightly overweight
3,58.167767,About the right weight
3,62.29315889,About the right weight
3,61.44648834,About the right weight
4,96.57697985,Slightly overweight
3,93.67424598,About the right weight
3,80.50659742,About the right weight
3,51.7428672,About the right weight
3,66.16040353,About the right weight
3,21.293857,About the right weight
3,81.97672505,About the right weight
4,92.84085921,Slightly overweight
3,57.0210877,About the right weight
4,70.67451976,Slightly overweight
3,75.01704032,About the right weight
5,99.21076424,Very overweight
3,37.60087813,About the right weight
4,71.86076545,Slightly overweight
4,97.08533916,Slightly overweight
4,92.83424307,Slightly overweight
3,74.60880949,About the right weight
4,98.57848685,Slightly overweight
4,82.19258456,Slightly overweight
3,37.60087813,About the right weight
3,42.90615422,About the right weight
3,67.38519263,About the right weight
3,61.62522673,About the right weight
3,99.18115262,About the right weight
2,54.64792215,Slightly underweight
3,58.87622836,About the right weight
4,84.62919716,Slightly overweight
3,56.18208753,About the right weight
3,57.23154694,About the right weight
2,7.43365761,Slightly underweight
3,35.18794139,About the right weight
2,27.92771638,Slightly underweight
3,39.37452899,About the right weight
3,78.44672535,About the right weight
3,63.48927185,About the right weight
2,56.67898027,Slightly underweight
4,97.49494147,Slightly overweight
3,43.94501206,About the right weight
4,68.33176627,Slightly overweight
3,58.18521241,About the right weight
3,63.26262945,About the right weight
3,75.92719998,About the right weight
3,50.41309274,About the right weight
3,61.87259156,About the right weight
3,70.67451976,About the right weight
2,28.63552609,Slightly underweight
5,99.65169103,Very overweight
3,37.57997923,About the right weight
2,25.29993613,Slightly underweight
3,83.06926617,About the right weight
4,90.14101997,Slightly overweight
4,95.9856148,Slightly overweight
4,93.79543511,Slightly overweight
4,82.57589609,Slightly overweight
4,88.01784697,Slightly overweight
5,98.01728332,Very overweight
3,17.93580699,About the right weight
3,11.72368213,About the right weight
4,79.73361306,Slightly overweight
2,26.94682817,Slightly underweight
3,76.13757745,About the right weight
4,98.3757666,Slightly overweight
2,11.98787945,Slightly underweight
4,99.23716232,Slightly overweight
3,72.66703407,About the right weight
4,86.45744949,Slightly overweight
3,42.79220671,About the right weight
3,4.86964072,About the right weight
2,0.983247028,Slightly underweight
4,93.87468769,Slightly overweight
3,75.69056427,About the right weight
2,25.66497134,Slightly underweight
4,92.23355665,Slightly overweight
3,17.54872121,About the right weight
3,72.97464678,About the right weight
2,19.43625279,Slightly underweight
4,90.19374415,Slightly overweight
2,40.8934694,Slightly underweight
1,7.004844233,Very underweight
3,68.80335871,About the right weight
4,95.79402088,Slightly overweight
3,53.01344219,About the right weight
3,76.31024948,About the right weight
4,95.03683894,Slightly overweight
4,98.78491689,Slightly overweight
4,84.2338361,Slightly overweight
5,99.39712288,Very overweight
3,76.16361312,About the right weight
2,77.55710461,Slightly underweight
3,43.94501206,About the right weight
3,44.24834399,About the right weight
4,93.79838032,Slightly overweight
3,87.25071452,About the right weight
4,96.87222741,Slightly overweight
3,97.43979933,About the right weight
4,98.87218029,Slightly overweight
4,89.45512899,Slightly overweight
4,48.48588362,Slightly overweight
4,94.35712574,Slightly overweight
3,90.74566924,About the right weight
5,99.73495036,Very overweight
3,83.60669867,About the right weight
3,74.47952441,About the right weight
3,90.70856779,About the right weight
3,15.54898951,About the right weight
4,99.4807266,Slightly overweight
3,42.10114543,About the right weight
3,47.13837771,About the right weight
3,45.1520129,About the right weight
4,98.70411202,Slightly overweight
3,78.8391597,About the right weight
3,44.02474329,About the right weight
4,96.99582359,Slightly overweight
3,92.80500857,About the right weight
3,56.52032716,About the right weight
4,83.93878579,Slightly overweight
3,59.03829979,About the right weight
5,56.95703982,Very overweight
4,86.95492749,Slightly overweight
4,65.56463771,Slightly overweight
3,81.91225318,About the right weight
3,79.456875,About the right weight
2,29.00140843,Slightly underweight
3,29.00140843,About the right weight
3,75.35975743,About the right weight
3,75.2628239,About the right weight
3,1.626257173,About the right weight
2,8.924870102,Slightly underweight
4,98.44322633,Slightly overweight
4,34.21992462,Slightly overweight
4,96.77602067,Slightly overweight
3,18.46382222,About the right weight
3,67.37412662,About the right weight
4,53.28931968,Slightly overweight
4,97.57939704,Slightly overweight
4,95.19034603,Slightly overweight
2,49.0050896,Slightly underweight
3,97.16639571,About the right weight
4,85.84986532,Slightly overweight
3,87.29843376,About the right weight
3,37.6095217,About the right weight
4,69.17629728,Slightly overweight
4,88.10799552,Slightly overweight
3,65.04131108,About the right weight
4,92.63103874,Slightly overweight
3,70.24766118,About the right weight
3,42.9070731,About the right weight
3,68.83869584,About the right weight
3,68.725309,About the right weight
1,5.526833422,Very underweight
3,47.57670396,About the right weight
3,76.28817411,About the right weight
3,47.25298589,About the right weight
3,34.78983709,About the right weight
4,78.74951784,Slightly overweight
4,95.41000401,Slightly overweight
3,47.57670396,About the right weight
3,56.12875598,About the right weight
4,81.86351046,Slightly overweight
2,42.1484795,Slightly underweight
3,75.35975743,About the right weight
4,91.89342822,Slightly overweight
3,11.9858923,About the right weight
3,87.46561902,About the right weight
4,94.52660879,Slightly overweight
3,50.27447135,About the right weight
4,86.77246275,Slightly overweight
3,58.18521241,About the right weight
4,98.96889227,Slightly overweight
3,72.86170979,About the right weight
3,60.19581026,About the right weight
3,73.82749997,About the right weight
3,41.07328925,About the right weight
3,70.79270495,About the right weight
3,97.12160963,About the right weight
3,88.99530649,About the right weight
4,92.16826247,Slightly overweight
4,98.5202237,Slightly overweight
4,90.71004354,Slightly overweight
3,35.93437682,About the right weight
4,84.29940203,Slightly overweight
3,79.93438595,About the right weight
4,98.55640316,Slightly overweight
3,9.785228042,About the right weight
3,56.89389424,About the right weight
3,31.63999593,About the right weight
4,92.76041295,Slightly overweight
3,25.53707289,About the right weight
4,46.60251916,Slightly overweight
3,64.96446681,About the right weight
3,16.94993769,About the right weight
3,71.89758579,About the right weight
3,55.15612985,About the right weight
3,45.17144028,About the right weight
2,39.76467297,Slightly underweight
4,37.11859756,Slightly overweight
3,79.92192149,About the right weight
3,71.19957299,About the right weight
3,95.06181133,About the right weight
3,85.2749939,About the right weight
2,53.35115646,Slightly underweight
3,87.02647953,About the right weight
3,75.68396476,About the right weight
3,85.48936906,About the right weight
2,29.22517342,Slightly underweight
3,12.44537975,About the right weight
3,91.3566731,About the right weight
3,92.68103481,About the right weight
3,92.61218964,About the right weight
3,71.8600337,About the right weight
3,93.90236056,About the right weight
3,79.57774669,About the right weight
3,25.54426508,About the right weight
3,78.31747374,About the right weight
3,82.18267485,About the right weight
2,63.48927185,Slightly underweight
3,35.63692335,About the right weight
3,62.87405109,About the right weight
3,30.29781056,About the right weight
3,65.18427112,About the right weight
4,92.76804997,Slightly overweight
4,88.88067089,Slightly overweight
3,94.97024784,About the right weight
4,80.10061405,Slightly overweight
3,29.64029012,About the right weight
3,64.15249188,About the right weight
3,71.77163239,About the right weight
2,60.76861032,Slightly underweight
2,34.10784442,Slightly underweight
3,83.09109665,About the right weight
3,47.66003889,About the right weight
4,81.44859765,Slightly overweight
4,94.89062216,Slightly overweight
4,98.01443612,Slightly overweight
3,76.10665948,About the right weight
4,98.11499022,Slightly overweight
4,97.10273335,Slightly overweight
4,92.37168878,Slightly overweight
2,66.08825915,Slightly underweight
4,86.63687838,Slightly overweight
3,52.00817272,About the right weight
3,58.53747904,About the right weight
5,97.23423628,Very overweight
4,83.30380638,Slightly overweight
3,29.93458107,About the right weight
2,46.07997675,Slightly underweight
4,98.93885532,Slightly overweight
3,64.26150224,About the right weight
3,86.84669781,About the right weight
3,87.8322351,About the right weight
3,72.98083347,About the right weight
2,66.08825915,Slightly underweight
3,27.98383826,About the right weight
3,69.91124718,About the right weight
4,98.44222424,Slightly overweight
3,85.24612213,About the right weight
2,0.0018984,Slightly underweight
4,71.24517665,Slightly overweight
3,82.96083327,About the right weight
3,45.04484265,About the right weight
2,37.02509607,Slightly underweight
2,15.1210439,Slightly underweight
2,97.07114887,Slightly underweight
3,95.53715522,About the right weight
3,41.76200357,About the right weight
4,92.09238408,Slightly overweight
5,97.53817429,Very overweight
3,46.07997675,About the right weight
2,73.05961868,Slightly underweight
4,98.85440043,Slightly overweight
4,99.34359086,Slightly overweight
3,49.81064554,About the right weight
5,98.81895714,Very overweight
3,41.76200357,About the right weight
3,45.71292164,About the right weight
3,95.27339032,About the right weight
3,98.19385553,About the right weight
3,60.75872902,About the right weight
5,98.28093456,Very overweight
1,32.79325237,Very underweight
2,81.7100925,Slightly underweight
4,97.64685354,Slightly overweight
4,87.50167897,Slightly overweight
1,41.85248576,Very underweight
4,99.0371832,Slightly overweight
3,78.10688836,About the right weight
3,42.90537454,About the right weight
4,98.46270113,Slightly overweight
4,92.93582705,Slightly overweight
3,27.70125092,About the right weight
3,83.76843903,About the right weight
3,18.29423013,About the right weight
3,47.7153177,About the right weight
4,93.35076384,Slightly overweight
1,51.7091278,Very underweight
4,93.85510667,Slightly overweight
3,60.11766537,About the right weight
1,97.50458425,Very underweight
3,87.51636498,About the right weight
3,90.64452032,About the right weight
4,95.26327504,Slightly overweight
5,98.34883963,Very overweight
3,29.7578994,About the right weight
4,83.09080929,Slightly overweight
4,91.20842656,Slightly overweight
3,65.88575167,About the right weight
4,98.57045855,Slightly overweight
3,70.40604141,About the right weight
4,95.77294492,Slightly overweight
3,88.66110606,About the right weight
2,55.79291405,Slightly underweight
3,83.87324627,About the right weight
4,99.70588629,Slightly overweight
3,82.83795056,About the right weight
3,68.17556258,About the right weight
3,87.0393965,About the right weight
3,96.8934735,About the right weight
4,99.15805755,Slightly overweight
4,77.20364961,Slightly overweight
4,98.46195333,Slightly overweight
2,40.43646118,Slightly underweight
3,89.23253452,About the right weight
3,55.49638039,About the right weight
4,99.2871846,Slightly overweight
4,98.76439264,Slightly overweight
3,77.17514356,About the right weight
4,97.17528834,Slightly overweight
3,56.26811413,About the right weight
2,42.12549278,Slightly underweight
5,99.83862188,Very overweight
3,96.1397811,About the right weight
2,45.1520129,Slightly underweight
3,83.38004367,About the right weight
3,62.462601,About the right weight
2,48.61492211,Slightly underweight
2,52.08583923,Slightly underweight
5,96.60048022,Very overweight
3,74.71972579,About the right weight
4,93.60197238,Slightly overweight
2,52.00817272,Slightly underweight
3,80.9826523,About the right weight
3,57.95910476,About the right weight
3,65.01459821,About the right weight
2,23.38379549,Slightly underweight
4,85.18921007,Slightly overweight
3,69.15980796,About the right weight
3,98.83621451,About the right weight
3,94.72187429,About the right weight
4,93.47137179,Slightly overweight
3,39.18963322,About the right weight
2,63.79345154,Slightly underweight
3,54.04791735,About the right weight
3,99.274628,About the right weight
3,40.92763228,About the right weight
3,80.98353667,About the right weight
4,97.56644906,Slightly overweight
4,98.59100421,Slightly overweight
3,55.49169732,About the right weight
5,99.22377246,Very overweight
4,90.88792987,Slightly overweight
3,0.000597842,About the right weight
5,54.36682368,Very overweight
4,89.87845808,Slightly overweight
4,78.01416162,Slightly overweight
3,52.55947074,About the right weight
3,52.55947074,About the right weight
3,96.72407738,About the right weight
3,58.8744133,About the right weight
3,80.27785531,About the right weight
3,26.68936925,About the right weight
3,19.64801236,About the right weight
2,83.33327778,Slightly underweight
5,99.29199864,Very overweight
4,90.37184496,Slightly overweight
3,63.45405946,About the right weight
3,52.16728949,About the right weight
3,49.47476425,About the right weight
3,55.79291405,About the right weight
3,71.04906399,About the right weight
4,94.25583977,Slightly overweight
4,92.49213082,Slightly overweight
4,93.41713527,Slightly overweight
4,98.39556937,Slightly overweight
3,61.46573111,About the right weight
3,67.33594521,About the right weight
3,70.8375548,About the right weight
3,83.86652792,About the right weight
3,42.90615422,About the right weight
4,92.16052833,Slightly overweight
4,75.01704032,Slightly overweight
4,53.1816954,Slightly overweight
2,63.97414542,Slightly underweight
3,62.39033084,About the right weight
2,47.66003889,Slightly underweight
3,75.01704032,About the right weight
2,92.95131637,Slightly underweight
4,56.72430248,Slightly overweight
5,99.27839101,Very overweight
3,60.9709885,About the right weight
3,53.9997225,About the right weight
3,87.37254389,About the right weight
3,1.914454336,About the right weight
3,21.32932322,About the right weight
3,84.28101485,About the right weight
3,10.99453961,About the right weight
